0,pubid,applicants,title,fieldWords,funcWords,problemWords,techWords,similar
71,CN85100916A,施天亮$$陈守碧,分离式吸尘器,吸尘器|分离式,提供高效|提供器|合理利用|利用高效|合理用|合理高|提供工|提供合理|提供用|地高效|高效吸|合理高效|提供压|提供高,,吸尘器|分离式,50.0
72,CN85103486A,闵志骞,直读式数字传感器,直读式|传感器,稳定性度|性能差|结构稳定|性能度|结构稳定性|稳定性低|性能精度|有稳定性|复杂差|稳定低|稳定性能|稳定性|稳定性精度|有结构稳定|传感器|器稳定性,,,50.0
73,CN85100027A,天津大学,内热虹吸沸腾元件,石油化工|换热器|原子能|沸腾|元件|热虹吸|蒸发器|单元体|工业|强化传热|化学工业,高效排除|元件简单|高效排|高效产生|点结构简单|分离器|高效分离|本结构简单|改善过程|大改善|结构简单,,石油化工|换热器|原子能|元件|蒸发器|单元体|工业|强化传热|化学工业,50.0
74,CN85100857A,北京工业学院,单泵浦交叉棱镜腔激光振荡—放大器,放大器|单泵浦|棱镜|激光振荡|新型|高效率|交叉,有效率|稳定性高|效率高|效率输出|机械稳定性|效率大|稳定性|机械稳定,,激光振荡|固体|新型|高效率,50.0
75,CN85103976A,沙小如,直肠肿块活检深部取样针,直肠|活检|肿瘤诊断|发明|肿块|取样针|深部,提高率|提高正确率,,肿瘤诊断|发明,50.0
76,CN85102564A,宗有根,一种多功能低噪声乐音电子喇叭,多功能|运输工具|乐音|场合|电子喇叭|低噪声,汽车安全|安全驶|效果好|噪声低好|安全用,,运输工具|场合,50.0
77,CN85101007A,郑州工学院,激光散斑验光机,眼睛|视力|测定|验光机|激光散斑,精度高|结构简单,,眼睛|测定|激光散斑|视力,50.0
78,CN85102575A,南开大学,降钙素精制的新工艺,降钙素|新工艺|生物化学|宇航员|临床|保健|家禽|多肽激素|治疗用途|航天事业|诊断|工业|精制|生化制药|生物化工,经济效益|提高效|提效益|降成本|提高经济,,降钙素|宇航员|生物化学|保健|临床|家禽|多肽激素|治疗用途|航天事业|诊断|工业|生物化工|生化制药,50.0
79,CN85100743A,吴佑之,轴与轮轱的滑销联接结构,机械|轮轱的|转轴|联接结构,满足用,,机械|轮轱的|转轴,50.0
80,CN85100026A,天津大学,脉冲碰撞双锁模激光器,锁模激光器|碰撞|脉冲|受激发射,具有简单|稳定效率|效率高低廉|性成本低廉|稳定性低|高成本低廉|高低廉|成本低|转换成本低|稳定性|效率成本|冲效率|宽成本低|稳定高低廉|稳定低廉|稳定效率高|稳定成本低|稳定性度高|稳定成本|宽成本低廉|性成本|有结构简单|度效率高|宽效率高|换低廉|稳定性效率|效率高|转效率|度成本低|稳定效率低|转换效率|结构简单|稳定性度|性效率|构简单|成本低等|稳定性高|效率低|稳定性高广|高成本|宽度效率|稳定低|高成本低|换效率高|效率成本低,,受激发射,50.0
